source_id,team_fifa_code,name,position
23182,BIH,Nikola Katić,Defence
65105,BIH,Nikola Vasilj,Goalkeeper
172226,BIH,Samed Bazdar,Offence
7786,BIH,Sead Kolašinac,Defence
65758,BIH,Stjepan Radeljić,Defence
189153,BIH,Tarik Muharemović,Defence
2028,BRA,Alex Sandro,Defence
1795,BRA,Alisson Becker,Goalkeeper
1106,BRA,Bremer,Defence
1684,BRA,Bruno Guimarães,Midfield
3231,BRA,Casemiro,Midfield
7881,BRA,Danilo Luiz da Silva,Defence
149704,BRA,Danilo dos Santos de Oliveira,Midfield
6517,BRA,Douglas Santos,Defence
3222,BRA,Ederson,Goalkeeper
188487,BRA,Endrick,Offence
8749,BRA,Fabinho,Midfield
23128,BRA,Gabriel Magalhães,Defence
1543,BRA,Lucas Paquetá,Midfield
145539,BRA,Luiz Henrique,Offence
11192,BRA,Léo Pereira,Defence
3225,BRA,Marquinhos,Defence
61450,BRA,Martinelli,Offence
30842,BRA,Matheus Cunha,Offence
8491,BRA,Neymar,Offence
37428,BRA,Raphinha,Offence
203356,BRA,Rayan,Offence
1081,BRA,Roger Ibañez,Defence
138230,BRA,Thiago,Offence
1556,BRA,Vinicius Junior,Offence
179164,BRA,Wesley,Defence
1170,BRA,Weverton,Goalkeeper
81286,CAN,Alfie Jones,Defence
181976,CAN,Ali Ahmed,Midfield
118604,CAN,Alistair Johnston,Defence
21288,CAN,Alphonso Davies,Defence
15958,CAN,Cyle Larin,Offence
113351,CAN,Dayne St. Clair,Goalkeeper
113228,CAN,Derek Cornelius,Defence
172183,CAN,Ismael Kone,Midfield
111842,CAN,Jacob Shaffelburg,Offence
112209,CAN,Joel Waterman,Defence
8924,CAN,Jonathan David,Offence
21199,CAN,Jonathan Osorio,Midfield
110807,CAN,Liam Millar,Offence
217596,CAN,Luc De Fougerolles,Defence
140546,CAN,Marcelo Flores,Midfield
72777,CAN,Mathieu Choinière,Midfield
21226,CAN,Maxime Crépeau,Goalkeeper
192153,CAN,Moise Bombito,Defence
171216,CAN,Nathan-Dylan Saliba,Midfield
216809,CAN,Niko Sigur,Midfield
189264,CAN,Owen Goodman,Goalkeeper
260992,CAN,Promise Akinpelu,Offence
77691,CAN,Richie Laryea,Defence
37479,CAN,Stephen Eustáquio,Midfield
113175,CAN,Tajon Buchanan,Midfield
177826,CAN,Tani Oluwaseyi,Offence
8292,CIV,Alban Lafont,Goalkeeper
133584,CIV,Amad Diallo,Midfield
152738,CIV,Ange-Yoan Bonny,Offence
249312,CIV,Bazoumana Touré,Offence
269161,CIV,Christ Ravynel Inao Oulaï,Midfield
700,CIV,Christopher Operi,Defence
149731,CIV,Emmanuel Agbadou,Defence
526,CIV,Evan N'Dicka,Defence
128710,CIV,Evann Guessand,Offence
1747,CIV,Franck Kessié,Midfield
37432,CIV,Ghislain Konan,Defence
135473,CIV,Guela Doué,Defence
8307,CIV,Ibrahim Sangaré,Midfield
8430,CIV,Jean Michaël Seri,Midfield
170943,CIV,Mohamed Kone,Goalkeeper
8412,CIV,Nicolas Pépé,Offence
167098,CIV,Odilon Kossounou,Defence
188275,CIV,Oumar Diakite,Offence
191760,CIV,Ousmane Diomande,Defence
144698,CIV,Parfait Guiagon,Midfield
2126,CIV,Seko Fofana,Midfield
156808,CIV,Sepe Elye Wahi,Offence
166249,CIV,Simon Adingra,Offence
113375,CIV,Wilfried Singo,Defence
616,CIV,Yahia Fofana,Goalkeeper
277484,CIV,Yan Diomandé,Offence
14596,COD,Aaron Tshibola,Midfield
8158,COD,Aaron Wan-Bissaka,Defence
8204,COD,Arthur Masuaku,Defence
3894,COD,Axel Tuanzebe,Defence
243626,COD,Brian Cipenga,Offence
7918,COD,Chancel Mbemba,Defence
30876,COD,Charles Pickel,Midfield
21583,COD,Cédric Bakambu,Offence
9160,COD,Dylan Batubinsika,Defence
8854,COD,Edo Kayembe,Midfield
245577,COD,Fiston Mayele,Offence
8596,COD,Gaël Kakuta,Midfield
82600,COD,Gédéon Kalulu,Defence
8700,COD,Joris Kayembe,Defence
106838,COD,Lionel Mpasi,Goalkeeper
170838,COD,Matthieu Epolo,Goalkeeper
166776,COD,Meschack Elia,Offence
125668,COD,Nathanael Mbuku,Offence
192666,COD,Ngal'ayel Mukau,Midfield
182273,COD,Noah Sadiki,Midfield
8701,COD,Samuel Moutoussamy,Midfield
74554,COD,Simon Banza,Offence
220602,COD,Steve Kapuadi,Defence
9309,COD,Theo Bongonda,Offence
98898,COD,Timothy Fayulu,Goalkeeper
612,COD,Yoane Wissa,Offence
3721,COL,Camilo Vargas,Goalkeeper
178432,COL,Carlos Gómez,Offence
32415,COL,Cucho Hernández,Offence
22010,COL,Daniel Muñoz,Defence
3722,COL,David Ospina,Goalkeeper
3733,COL,Davinson Sánchez,Defence
8913,COL,Deiver Machado,Defence
191421,COL,Gustavo Puerta,Midfield
365,COL,James Rodríguez,Midfield
170245,COL,Jaminton Campaz,Midfield
3737,COL,Jefferson Lerma,Midfield
22306,COL,Jhon Arias,Midfield
212,COL,Jhon Córdoba,Offence
22113,COL,Jhon Lucumí,Defence
3724,COL,Johan Mojica,Defence
29012,COL,Jorge Carrascal,Midfield
178353,COL,Juan Portilla,Midfield
168403,COL,Juan Quintero,Midfield
156738,COL,Kevin Castaño,Midfield
22396,COL,Luis Díaz,Offence
32386,COL,Luis Suárez,Offence
170657,COL,Richard Rios,Midfield
3723,COL,Santiago Arias,Defence
82825,COL,Willer Ditta,Defence
3728,COL,Yerry Mina,Defence
22742,COL,Álvaro Montero,Goalkeeper
150997,CPV,C.J. dos Santos,Goalkeeper
175919,CPV,Dailon Rocha Livramento,Offence
7759,CPV,Deroy Duarte,Midfield
45328,CPV,Diney Borges,Defence
30554,CPV,Garry Rodrigues,Midfield
151942,CPV,Gilson Tavares,Offence
213119,CPV,Hélio Varela,Offence
167455,CPV,Jamiro Monteiro,Midfield
37116,CPV,Jovane Cabral,Offence
212575,CPV,João Paulo,Midfield
246869,CPV,Kelvin Pires,Defence
40121,CPV,Kevin Pina,Midfield
67968,CPV,Laros Duarte,Midfield
814,CPV,Logan Costa,Defence
53172,CPV,Márcio Rosa,Goalkeeper
166784,CPV,Nuno Da Costa,Offence
36618,CPV,Roberto Lopes,Defence
30502,CPV,Ryan Mendes,Offence
209178,CPV,Sidny Lopes Cabral,Defence
593,CPV,Steven Moreira,Defence
63097,CPV,Stopira,Defence
145346,CPV,Telmo Arcanjo,Midfield
120725,CPV,Vózinha,Goalkeeper
213136,CPV,Wagner Pina,Defence
9278,CPV,Willy Semedo,Offence
103108,CPV,Yannick Semedo,Midfield
318,CRO,Andrej Kramarić,Offence
2237,CRO,Ante Budimir,Offence
67883,CRO,Dominik Kotarski,Goalkeeper
3548,CRO,Dominik Livaković,Goalkeeper
10206,CRO,Duje Ćaleta-Car,Defence
156629,CRO,Igor Matanovic,Offence
2004,CRO,Ivan Perišić,Offence
16577,CRO,Ivor Pandur,Goalkeeper
122188,CRO,Josip Stanišić,Defence
134835,CRO,Josip Šutalo,Defence
122266,CRO,Joško Gvardiol,Defence
23222,CRO,Kristijan Jakić,Midfield
43,CRO,Luka Modrić,Midfield
82516,CRO,Luka Sučić,Midfield
216835,CRO,Luka Vušković,Defence
